,jobs,machines,numInd,numGen,makespan,to_matrix_percentage,elitismo,exec_time,instance,mutation,selection_method
0,512,16,200,200,97954.991212,0.3,10.0,338.8997881412506,u_s_hilo.0,0.0,roulette wheel
1,512,16,200,200,96742.605283,0.3,10.0,411.6268939971924,u_s_hilo.0,10.0,roulette wheel
2,512,16,200,200,96760.695526,0.3,10.0,432.4684989452362,u_s_hilo.0,20.0,roulette wheel
3,512,16,200,200,96534.043515,0.3,10.0,1194.4057142734528,u_s_hilo.0,30.0,roulette wheel
4,512,16,200,200,98860.80936300002,0.3,20.0,338.2073893547058,u_s_hilo.0,0.0,roulette wheel
5,512,16,200,200,96524.49683599998,0.3,20.0,348.9957218170166,u_s_hilo.0,10.0,roulette wheel
6,512,16,200,200,96820.343195,0.3,20.0,350.6512722969055,u_s_hilo.0,20.0,roulette wheel
7,512,16,200,200,96677.571884,0.3,20.0,345.526704788208,u_s_hilo.0,30.0,roulette wheel
8,512,16,200,200,99279.451457,0.3,30.0,335.39957308769226,u_s_hilo.0,0.0,roulette wheel
9,512,16,200,200,97088.255388,0.3,30.0,369.7468259334564,u_s_hilo.0,10.0,roulette wheel
10,512,16,200,200,96773.894108,0.3,30.0,381.4459710121155,u_s_hilo.0,20.0,roulette wheel
11,512,16,200,200,96800.55310099998,0.3,30.0,375.893483877182,u_s_hilo.0,30.0,roulette wheel
12,512,16,200,200,4199169.431639,0.3,10.0,331.1721930503845,u_s_hihi.0,0.0,roulette wheel
13,512,16,200,200,4163399.0,0.3,10.0,338.7529489994049,u_s_hihi.0,10.0,roulette wheel
14,512,16,200,200,4163399.0,0.3,10.0,338.59528493881226,u_s_hihi.0,20.0,roulette wheel
15,512,16,200,200,4163399.0,0.3,10.0,339.7456538677216,u_s_hihi.0,30.0,roulette wheel
16,512,16,200,200,4241640.794921,0.3,20.0,315.5788519382477,u_s_hihi.0,0.0,roulette wheel
17,512,16,200,200,4177649.800781,0.3,20.0,321.7867588996887,u_s_hihi.0,10.0,roulette wheel
18,512,16,200,200,4163399.0,0.3,20.0,294.094672203064,u_s_hihi.0,20.0,roulette wheel
19,512,16,200,200,4163399.0,0.3,20.0,264.2294080257416,u_s_hihi.0,30.0,roulette wheel
20,512,16,200,200,4223446.011065001,0.3,30.0,224.336816072464,u_s_hihi.0,0.0,roulette wheel
21,512,16,200,200,4163399.0,0.3,30.0,252.78945899009705,u_s_hihi.0,10.0,roulette wheel
22,512,16,200,200,4163399.0,0.3,30.0,237.62510085105896,u_s_hihi.0,20.0,roulette wheel
23,512,16,200,200,4163399.0,0.3,30.0,226.16434478759768,u_s_hihi.0,30.0,roulette wheel
24,512,16,200,200,125711.33147799992,0.3,10.0,223.6880788803101,u_s_lohi.0,0.0,roulette wheel
25,512,16,200,200,123728.009703,0.3,10.0,215.5595819950104,u_s_lohi.0,10.0,roulette wheel
26,512,16,200,200,123005.898625,0.3,10.0,217.9528350830078,u_s_lohi.0,20.0,roulette wheel
27,512,16,200,200,123446.518406,0.3,10.0,216.1390552520752,u_s_lohi.0,30.0,roulette wheel
28,512,16,200,200,126327.531406,0.3,20.0,234.59279584884644,u_s_lohi.0,0.0,roulette wheel
29,512,16,200,200,125566.688127,0.3,20.0,230.2257778644561,u_s_lohi.0,10.0,roulette wheel
30,512,16,200,200,124443.17041,0.3,20.0,231.8082060813904,u_s_lohi.0,20.0,roulette wheel
31,512,16,200,200,122703.32431399998,0.3,20.0,239.0007741451264,u_s_lohi.0,30.0,roulette wheel
32,512,16,200,200,134387.494629,0.3,30.0,191.10417008399963,u_s_lohi.0,0.0,roulette wheel
33,512,16,200,200,123577.381123,0.3,30.0,207.3931949138641,u_s_lohi.0,10.0,roulette wheel
34,512,16,200,200,124743.55850299996,0.3,30.0,205.4413821697235,u_s_lohi.0,20.0,roulette wheel
35,512,16,200,200,123363.120303,0.3,30.0,202.9223728179932,u_s_lohi.0,30.0,roulette wheel
36,512,16,200,200,3491.665837,0.3,10.0,185.09680485725403,u_s_lolo.0,0.0,roulette wheel
37,512,16,200,200,3447.3318119999994,0.3,10.0,185.5280349254608,u_s_lolo.0,10.0,roulette wheel
38,512,16,200,200,3449.537466,0.3,10.0,183.144238948822,u_s_lolo.0,20.0,roulette wheel
39,512,16,200,200,3457.458673,0.3,10.0,182.91591906547544,u_s_lolo.0,30.0,roulette wheel
40,512,16,200,200,3489.2767680000006,0.3,20.0,219.8503189086914,u_s_lolo.0,0.0,roulette wheel
41,512,16,200,200,3451.7742610000005,0.3,20.0,229.3591539859772,u_s_lolo.0,10.0,roulette wheel
42,512,16,200,200,3463.8585970000004,0.3,20.0,228.6973831653595,u_s_lolo.0,20.0,roulette wheel
43,512,16,200,200,3441.390723,0.3,20.0,227.01712679862976,u_s_lolo.0,30.0,roulette wheel
44,512,16,200,200,3493.4505160000003,0.3,30.0,188.2114598751068,u_s_lolo.0,0.0,roulette wheel
45,512,16,200,200,3493.4505160000003,0.3,30.0,197.500807762146,u_s_lolo.0,10.0,roulette wheel
46,512,16,200,200,3493.4505160000003,0.3,30.0,199.4893958568573,u_s_lolo.0,20.0,roulette wheel
47,512,16,200,200,3438.75143,0.3,30.0,195.2853980064392,u_s_lolo.0,30.0,roulette wheel
48,512,16,200,200,74204.35919300001,0.3,10.0,181.33598399162287,u_i_hilo.0,0.0,roulette wheel
49,512,16,200,200,73909.20828300001,0.3,10.0,184.81810998916623,u_i_hilo.0,10.0,roulette wheel
50,512,16,200,200,73654.14727899998,0.3,10.0,186.2820508480072,u_i_hilo.0,20.0,roulette wheel
51,512,16,200,200,73555.74387800002,0.3,10.0,183.2419211864472,u_i_hilo.0,30.0,roulette wheel
52,512,16,200,200,74001.00038099999,0.3,20.0,225.5937297344208,u_i_hilo.0,0.0,roulette wheel
53,512,16,200,200,74175.92877299999,0.3,20.0,225.676167011261,u_i_hilo.0,10.0,roulette wheel
54,512,16,200,200,73741.37533699999,0.3,20.0,225.7214431762696,u_i_hilo.0,20.0,roulette wheel
55,512,16,200,200,73660.84286499998,0.3,20.0,223.89339780807487,u_i_hilo.0,30.0,roulette wheel
56,512,16,200,200,74238.26624999999,0.3,30.0,180.7899751663208,u_i_hilo.0,0.0,roulette wheel
57,512,16,200,200,73874.043494,0.3,30.0,192.71885085105896,u_i_hilo.0,10.0,roulette wheel
58,512,16,200,200,73726.61486799999,0.3,30.0,193.4576120376587,u_i_hilo.0,20.0,roulette wheel
59,512,16,200,200,73664.82735500002,0.3,30.0,189.7681579589844,u_i_hilo.0,30.0,roulette wheel
60,512,16,200,200,3119006.327271001,0.3,10.0,183.55468893051147,u_i_hihi.0,0.0,roulette wheel
61,512,16,200,200,3014517.645507,0.3,10.0,184.5283138751984,u_i_hihi.0,10.0,roulette wheel
62,512,16,200,200,3002924.685851,0.3,10.0,184.06855702400208,u_i_hihi.0,20.0,roulette wheel
63,512,16,200,200,2994606.451659,0.3,10.0,189.93943405151367,u_i_hihi.0,30.0,roulette wheel
64,512,16,200,200,3126209.3613890004,0.3,20.0,221.7109670639038,u_i_hihi.0,0.0,roulette wheel
65,512,16,200,200,3032604.9530020007,0.3,20.0,226.1155681610108,u_i_hihi.0,10.0,roulette wheel
66,512,16,200,200,3025646.131104,0.3,20.0,226.1652579307556,u_i_hihi.0,20.0,roulette wheel
67,512,16,200,200,3003828.630858,0.3,20.0,226.330041885376,u_i_hihi.0,30.0,roulette wheel
68,512,16,200,200,3050262.2896120003,0.3,30.0,183.36393785476685,u_i_hihi.0,0.0,roulette wheel
69,512,16,200,200,3021470.765623,0.3,30.0,190.9740121364593,u_i_hihi.0,10.0,roulette wheel
70,512,16,200,200,3000719.1210910003,0.3,30.0,193.1341917514801,u_i_hihi.0,20.0,roulette wheel
71,512,16,200,200,3006412.3125,0.3,30.0,191.6445519924164,u_i_hihi.0,30.0,roulette wheel
72,512,16,200,200,109305.16919400002,0.3,10.0,185.43743324279785,u_i_lohi.0,0.0,roulette wheel
73,512,16,200,200,105279.619385,0.3,10.0,184.8882110118866,u_i_lohi.0,10.0,roulette wheel
74,512,16,200,200,104791.937826,0.3,10.0,184.0982370376587,u_i_lohi.0,20.0,roulette wheel
75,512,16,200,200,104034.192045,0.3,10.0,182.0351848602295,u_i_lohi.0,30.0,roulette wheel
76,512,16,200,200,107622.18329500002,0.3,20.0,219.1542830467224,u_i_lohi.0,0.0,roulette wheel
77,512,16,200,200,104781.690201,0.3,20.0,225.7246401309967,u_i_lohi.0,10.0,roulette wheel
78,512,16,200,200,103941.539674,0.3,20.0,224.0927448272705,u_i_lohi.0,20.0,roulette wheel
79,512,16,200,200,104559.849641,0.3,20.0,227.520133972168,u_i_lohi.0,30.0,roulette wheel
80,512,16,200,200,106955.417188,0.3,30.0,185.74940395355225,u_i_lohi.0,0.0,roulette wheel
81,512,16,200,200,104847.49634500002,0.3,30.0,189.9047679901123,u_i_lohi.0,10.0,roulette wheel
82,512,16,200,200,104090.25544400004,0.3,30.0,193.0993971824646,u_i_lohi.0,20.0,roulette wheel
83,512,16,200,200,104593.97617700003,0.3,30.0,194.0977947711945,u_i_lohi.0,30.0,roulette wheel
84,512,16,200,200,2571.3017740000005,0.3,10.0,180.976078748703,u_i_lolo.0,0.0,roulette wheel
85,512,16,200,200,2564.1634760000006,0.3,10.0,189.2527890205384,u_i_lolo.0,10.0,roulette wheel
86,512,16,200,200,2553.6608420000007,0.3,10.0,186.04135704040527,u_i_lolo.0,20.0,roulette wheel
87,512,16,200,200,2553.6608420000007,0.3,10.0,183.6450791358948,u_i_lolo.0,30.0,roulette wheel
88,512,16,200,200,2576.4555640000003,0.3,20.0,222.25769209861755,u_i_lolo.0,0.0,roulette wheel
89,512,16,200,200,2556.7633910000004,0.3,20.0,224.25204181671145,u_i_lolo.0,10.0,roulette wheel
90,512,16,200,200,2552.2103369999995,0.3,20.0,223.26305985450745,u_i_lolo.0,20.0,roulette wheel
91,512,16,200,200,2552.2103369999995,0.3,20.0,222.55710411071777,u_i_lolo.0,30.0,roulette wheel
92,512,16,200,200,2570.610167,0.3,30.0,179.53247928619385,u_i_lolo.0,0.0,roulette wheel
93,512,16,200,200,2550.111515,0.3,30.0,187.98081707954407,u_i_lolo.0,10.0,roulette wheel
94,512,16,200,200,2550.944897000001,0.3,30.0,190.33196330070496,u_i_lolo.0,20.0,roulette wheel
95,512,16,200,200,2552.2103369999995,0.3,30.0,186.8726508617401,u_i_lolo.0,30.0,roulette wheel
96,512,16,200,200,160242.36212099998,0.3,10.0,172.8680419921875,u_c_hilo.0,0.0,roulette wheel
97,512,16,200,200,153893.588513,0.3,10.0,177.48333835601807,u_c_hilo.0,10.0,roulette wheel
98,512,16,200,200,153933.32908500006,0.3,10.0,175.9442698955536,u_c_hilo.0,20.0,roulette wheel
