,jobs,machines,numInd,numGen,makespan,to_matrix_percentage,elitismo,exec_time,instance,mutation,selection_method
0,512,16,100,100,199242.049575,0.3,10.0,52.40123462677002,u_s_hilo.0,0.0,roulette wheel
1,512,16,100,100,195963.79626300003,0.3,10.0,55.76480197906494,u_s_hilo.0,10.0,roulette wheel
2,512,16,100,100,200360.300103,0.3,10.0,56.01799821853638,u_s_hilo.0,20.0,roulette wheel
3,512,16,100,100,197902.84411500004,0.3,10.0,56.32792615890503,u_s_hilo.0,30.0,roulette wheel
4,512,16,100,100,239654.18402400007,0.3,20.0,49.98752403259277,u_s_hilo.0,0.0,roulette wheel
5,512,16,100,100,208500.768525,0.3,20.0,50.34752988815308,u_s_hilo.0,10.0,roulette wheel
6,512,16,100,100,234178.148222,0.3,20.0,50.665974378585815,u_s_hilo.0,20.0,roulette wheel
7,512,16,100,100,244007.23744900004,0.3,20.0,50.81041789054871,u_s_hilo.0,30.0,roulette wheel
8,512,16,100,100,249606.888549,0.3,30.0,49.532591819763184,u_s_hilo.0,0.0,roulette wheel
9,512,16,100,100,262419.116184,0.3,30.0,49.74290728569031,u_s_hilo.0,10.0,roulette wheel
10,512,16,100,100,258055.786928,0.3,30.0,50.00722670555115,u_s_hilo.0,20.0,roulette wheel
11,512,16,100,100,247544.00368,0.3,30.0,52.784111976623535,u_s_hilo.0,30.0,roulette wheel
12,512,16,100,100,16812056.632813,0.3,10.0,65.04632234573364,u_s_hihi.0,0.0,roulette wheel
13,512,16,100,100,17076443.94922,0.3,10.0,61.36399126052856,u_s_hihi.0,10.0,roulette wheel
14,512,16,100,100,15207512.880371,0.3,10.0,61.04583048820496,u_s_hihi.0,20.0,roulette wheel
15,512,16,100,100,15260597.825195,0.3,10.0,61.65040612220764,u_s_hihi.0,30.0,roulette wheel
16,512,16,100,100,18985791.636719,0.3,20.0,54.87255787849426,u_s_hihi.0,0.0,roulette wheel
17,512,16,100,100,15951445.505859,0.3,20.0,55.07947611808777,u_s_hihi.0,10.0,roulette wheel
18,512,16,100,100,17146131.09375,0.3,20.0,55.88094568252564,u_s_hihi.0,20.0,roulette wheel
19,512,16,100,100,15919885.102051,0.3,20.0,55.73923635482788,u_s_hihi.0,30.0,roulette wheel
20,512,16,100,100,19789456.083739,0.3,30.0,52.700082540512085,u_s_hihi.0,0.0,roulette wheel
21,512,16,100,100,18705817.807618,0.3,30.0,52.644224882125854,u_s_hihi.0,10.0,roulette wheel
22,512,16,100,100,18557841.366701,0.3,30.0,54.3878128528595,u_s_hihi.0,20.0,roulette wheel
23,512,16,100,100,19572291.121581003,0.3,30.0,60.490883588790894,u_s_hihi.0,30.0,roulette wheel
24,512,16,100,100,496871.713271,0.3,10.0,64.47096252441406,u_s_lohi.0,0.0,roulette wheel
25,512,16,100,100,452948.841676,0.3,10.0,61.00045132637024,u_s_lohi.0,10.0,roulette wheel
26,512,16,100,100,507833.931627,0.3,10.0,63.1333076953888,u_s_lohi.0,20.0,roulette wheel
27,512,16,100,100,460585.84289400006,0.3,10.0,59.75998425483704,u_s_lohi.0,30.0,roulette wheel
28,512,16,100,100,546273.0142219999,0.3,20.0,52.10404181480408,u_s_lohi.0,0.0,roulette wheel
29,512,16,100,100,536057.9885249999,0.3,20.0,80.19675898551941,u_s_lohi.0,10.0,roulette wheel
30,512,16,100,100,529659.0291890001,0.3,20.0,84.42282152175903,u_s_lohi.0,20.0,roulette wheel
31,512,16,100,100,512977.062502,0.3,20.0,47.04687643051148,u_s_lohi.0,30.0,roulette wheel
32,512,16,100,100,597180.1110970001,0.3,30.0,45.04085826873779,u_s_lohi.0,0.0,roulette wheel
33,512,16,100,100,571165.409424,0.3,30.0,87.73540782928467,u_s_lohi.0,10.0,roulette wheel
34,512,16,100,100,591805.9958499997,0.3,30.0,49.92350745201111,u_s_lohi.0,20.0,roulette wheel
35,512,16,100,100,673046.8698580001,0.3,30.0,45.87088990211487,u_s_lohi.0,30.0,roulette wheel
36,512,16,100,100,7264.767489999999,0.3,10.0,52.23548674583435,u_s_lolo.0,0.0,roulette wheel
37,512,16,100,100,7310.144641999999,0.3,10.0,52.36528706550598,u_s_lolo.0,10.0,roulette wheel
38,512,16,100,100,7125.2402170000005,0.3,10.0,52.77751159667969,u_s_lolo.0,20.0,roulette wheel
39,512,16,100,100,7572.478004000002,0.3,10.0,52.96014952659607,u_s_lolo.0,30.0,roulette wheel
40,512,16,100,100,8230.946389,0.3,20.0,46.874505043029785,u_s_lolo.0,0.0,roulette wheel
41,512,16,100,100,8865.677791000002,0.3,20.0,47.25012016296387,u_s_lolo.0,10.0,roulette wheel
42,512,16,100,100,8543.536826000001,0.3,20.0,47.46432614326477,u_s_lolo.0,20.0,roulette wheel
43,512,16,100,100,8859.542249,0.3,20.0,47.57433819770813,u_s_lolo.0,30.0,roulette wheel
44,512,16,100,100,9493.258882000002,0.3,30.0,44.85433316230774,u_s_lolo.0,0.0,roulette wheel
45,512,16,100,100,9174.668730000005,0.3,30.0,45.22233748435974,u_s_lolo.0,10.0,roulette wheel
46,512,16,100,100,9510.412682,0.3,30.0,45.51064562797546,u_s_lolo.0,20.0,roulette wheel
47,512,16,100,100,9587.956842000003,0.3,30.0,45.71647357940674,u_s_lolo.0,30.0,roulette wheel
48,512,16,100,100,210094.362744,0.3,10.0,52.50203561782837,u_i_hilo.0,0.0,roulette wheel
49,512,16,100,100,201773.2499970001,0.3,10.0,53.67542862892151,u_i_hilo.0,10.0,roulette wheel
50,512,16,100,100,204028.62093300003,0.3,10.0,53.19388961791992,u_i_hilo.0,20.0,roulette wheel
51,512,16,100,100,200572.11561100004,0.3,10.0,54.20031499862671,u_i_hilo.0,30.0,roulette wheel
52,512,16,100,100,261461.865172,0.3,20.0,47.361274003982544,u_i_hilo.0,0.0,roulette wheel
53,512,16,100,100,235441.069335,0.3,20.0,47.70569610595703,u_i_hilo.0,10.0,roulette wheel
54,512,16,100,100,245105.580689,0.3,20.0,47.90491962432861,u_i_hilo.0,20.0,roulette wheel
55,512,16,100,100,253866.968629,0.3,20.0,48.12605738639832,u_i_hilo.0,30.0,roulette wheel
56,512,16,100,100,273353.85513000004,0.3,30.0,45.317949295043945,u_i_hilo.0,0.0,roulette wheel
57,512,16,100,100,288836.87885399995,0.3,30.0,45.51366901397705,u_i_hilo.0,10.0,roulette wheel
58,512,16,100,100,269799.5112320001,0.3,30.0,45.88467121124268,u_i_hilo.0,20.0,roulette wheel
59,512,16,100,100,278790.4283460001,0.3,30.0,46.02091813087464,u_i_hilo.0,30.0,roulette wheel
60,512,16,100,100,3306563.8166509992,0.3,10.0,53.07250213623047,u_i_hihi.0,0.0,roulette wheel
61,512,16,100,100,3130527.087891,0.3,10.0,53.403923749923706,u_i_hihi.0,10.0,roulette wheel
62,512,16,100,100,3189632.229246,0.3,10.0,58.420119762420654,u_i_hihi.0,20.0,roulette wheel
63,512,16,100,100,3329744.796874,0.3,10.0,58.61285996437073,u_i_hihi.0,30.0,roulette wheel
64,512,16,100,100,3189175.954347,0.3,20.0,51.57249164581299,u_i_hihi.0,0.0,roulette wheel
65,512,16,100,100,197799.232971,0.3,10.0,59.24732828140259,u_s_hilo.0,0.0,roulette wheel
66,512,16,100,100,204583.770034,0.3,10.0,58.486966371536255,u_s_hilo.0,10.0,roulette wheel
67,512,16,100,100,201196.084202,0.3,10.0,59.2502920627594,u_s_hilo.0,20.0,roulette wheel
68,512,16,100,100,196377.06297400003,0.3,10.0,59.27865242958069,u_s_hilo.0,30.0,roulette wheel
69,512,16,100,100,226228.34805100004,0.3,20.0,52.65555953979492,u_s_hilo.0,0.0,roulette wheel
70,512,16,100,100,235399.075318,0.3,20.0,52.33905386924744,u_s_hilo.0,10.0,roulette wheel
71,512,16,100,100,235214.734378,0.3,20.0,53.06575059890747,u_s_hilo.0,20.0,roulette wheel
72,512,16,100,100,246371.05599800005,0.3,20.0,53.56428837776184,u_s_hilo.0,30.0,roulette wheel
73,512,16,100,100,254421.27797099992,0.3,30.0,53.39384603500366,u_s_hilo.0,0.0,roulette wheel
74,512,16,100,100,254679.551056,0.3,30.0,53.24564504623413,u_s_hilo.0,10.0,roulette wheel
75,512,16,100,100,233115.400636,0.3,30.0,53.78263998031616,u_s_hilo.0,20.0,roulette wheel
76,512,16,100,100,251330.430366,0.3,30.0,54.4238817691803,u_s_hilo.0,30.0,roulette wheel
77,512,16,100,100,16085531.653808,0.3,10.0,53.02093768119812,u_s_hihi.0,0.0,roulette wheel
78,512,16,100,100,16432975.158203,0.3,10.0,53.31811475753784,u_s_hihi.0,10.0,roulette wheel
79,512,16,100,100,15310878.910156,0.3,10.0,53.54074192047119,u_s_hihi.0,20.0,roulette wheel
80,512,16,100,100,15825533.269531,0.3,10.0,54.19524264335632,u_s_hihi.0,30.0,roulette wheel
81,512,16,100,100,16515451.400392,0.3,20.0,48.53018569946289,u_s_hihi.0,0.0,roulette wheel
82,512,16,100,100,15987421.049805,0.3,20.0,48.591169357299805,u_s_hihi.0,10.0,roulette wheel
83,512,16,100,100,18227605.445312,0.3,20.0,48.68592524528504,u_s_hihi.0,20.0,roulette wheel
84,512,16,100,100,16435851.882813,0.3,20.0,49.23567819595337,u_s_hihi.0,30.0,roulette wheel
85,512,16,100,100,20432622.0,0.3,30.0,47.54511284828186,u_s_hihi.0,0.0,roulette wheel
86,512,16,100,100,17721447.566406,0.3,30.0,48.07976508140564,u_s_hihi.0,10.0,roulette wheel
87,512,16,100,100,19470226.960939,0.3,30.0,48.24817681312561,u_s_hihi.0,20.0,roulette wheel
88,512,16,100,100,20888341.511719,0.3,30.0,48.84376502037048,u_s_hihi.0,30.0,roulette wheel
89,512,16,100,100,477660.9116210001,0.3,10.0,53.95108962059021,u_s_lohi.0,0.0,roulette wheel
90,512,16,100,100,497848.025465,0.3,10.0,54.077306270599365,u_s_lohi.0,10.0,roulette wheel
91,512,16,100,100,491230.544067,0.3,10.0,55.55017447471619,u_s_lohi.0,20.0,roulette wheel
92,512,16,100,100,501687.333621,0.3,10.0,55.06643724441528,u_s_lohi.0,30.0,roulette wheel
93,512,16,100,100,540369.044679,0.3,20.0,48.690335512161255,u_s_lohi.0,0.0,roulette wheel
94,512,16,100,100,514889.174925,0.3,20.0,48.87895917892456,u_s_lohi.0,10.0,roulette wheel
95,512,16,100,100,484343.3334990001,0.3,20.0,49.22456336021423,u_s_lohi.0,20.0,roulette wheel
96,512,16,100,100,536542.86802,0.3,20.0,49.54114103317261,u_s_lohi.0,30.0,roulette wheel
97,512,16,100,100,613323.2041,0.3,30.0,47.49625039100647,u_s_lohi.0,0.0,roulette wheel
98,512,16,100,100,692539.4785920001,0.3,30.0,47.523738861083984,u_s_lohi.0,10.0,roulette wheel
99,512,16,100,100,561187.1526489999,0.3,30.0,48.03893780708313,u_s_lohi.0,20.0,roulette wheel
100,512,16,100,100,659924.467774,0.3,30.0,48.42740058898926,u_s_lohi.0,30.0,roulette wheel
101,512,16,100,100,7361.254597000001,0.3,10.0,52.87675714492798,u_s_lolo.0,0.0,roulette wheel
102,512,16,100,100,6910.228445000001,0.3,10.0,53.05748438835144,u_s_lolo.0,10.0,roulette wheel
103,512,16,100,100,7281.451931,0.3,10.0,53.34633564949036,u_s_lolo.0,20.0,roulette wheel
104,512,16,100,100,7418.128167999999,0.3,10.0,53.84007430076599,u_s_lolo.0,30.0,roulette wheel
105,512,16,100,100,8509.017561,0.3,20.0,47.96708607673645,u_s_lolo.0,0.0,roulette wheel
106,512,16,100,100,8829.313909999999,0.3,20.0,48.27084946632385,u_s_lolo.0,10.0,roulette wheel
107,512,16,100,100,8076.443296,0.3,20.0,48.641563177108765,u_s_lolo.0,20.0,roulette wheel
108,512,16,100,100,8662.740177,0.3,20.0,49.00926566123962,u_s_lolo.0,30.0,roulette wheel
