,jobs,machines,numInd,numGen,makespan,to_matrix_percentage,elitismo,exec_time,instance,mutation,selection_method
0,512,16,100,100,101441.06562000004,0.3,10.0,59.80916571617127,u_s_hilo.0,0.0,roulette wheel
1,512,16,100,100,100059.89174800002,0.3,10.0,61.77690982818604,u_s_hilo.0,10.0,roulette wheel
2,512,16,100,100,102064.906647,0.3,10.0,61.142740964889526,u_s_hilo.0,20.0,roulette wheel
3,512,16,100,100,102834.446571,0.3,10.0,60.63429403305054,u_s_hilo.0,30.0,roulette wheel
4,512,16,100,100,105090.800414,0.3,20.0,62.11902403831482,u_s_hilo.0,0.0,roulette wheel
5,512,16,100,100,110195.81985199996,0.3,20.0,62.92996907234192,u_s_hilo.0,10.0,roulette wheel
6,512,16,100,100,105850.61099300002,0.3,20.0,62.58557343482971,u_s_hilo.0,20.0,roulette wheel
7,512,16,100,100,109377.49583899997,0.3,20.0,62.315813302993774,u_s_hilo.0,30.0,roulette wheel
8,512,16,100,100,115587.795835,0.3,30.0,54.8130316734314,u_s_hilo.0,0.0,roulette wheel
9,512,16,100,100,108707.586729,0.3,30.0,54.049837827682495,u_s_hilo.0,10.0,roulette wheel
10,512,16,100,100,113740.501221,0.3,30.0,54.82895493507385,u_s_hilo.0,20.0,roulette wheel
11,512,16,100,100,109577.27771100002,0.3,30.0,54.2475163936615,u_s_hilo.0,30.0,roulette wheel
12,512,16,100,100,4759045.469972,0.3,10.0,61.08087682723999,u_s_hihi.0,0.0,roulette wheel
13,512,16,100,100,4742941.662595999,0.3,10.0,60.62491679191589,u_s_hihi.0,10.0,roulette wheel
14,512,16,100,100,4631643.375486999,0.3,10.0,60.41488313674927,u_s_hihi.0,20.0,roulette wheel
15,512,16,100,100,4747224.606139999,0.3,10.0,61.09876847267151,u_s_hihi.0,30.0,roulette wheel
16,512,16,100,100,4791127.952819999,0.3,20.0,61.43066000938416,u_s_hihi.0,0.0,roulette wheel
17,512,16,100,100,4749625.996491,0.3,20.0,61.88485741615296,u_s_hihi.0,10.0,roulette wheel
18,512,16,100,100,4785532.462769,0.3,20.0,61.16252422332764,u_s_hihi.0,20.0,roulette wheel
19,512,16,100,100,4651015.998275999,0.3,20.0,61.082175731658936,u_s_hihi.0,30.0,roulette wheel
20,512,16,100,100,4807007.423523,0.3,30.0,53.05385327339173,u_s_hihi.0,0.0,roulette wheel
21,512,16,100,100,4730246.469148001,0.3,30.0,53.27227306365967,u_s_hihi.0,10.0,roulette wheel
22,512,16,100,100,4918240.414063,0.3,30.0,53.316890239715576,u_s_hihi.0,20.0,roulette wheel
23,512,16,100,100,4559634.888092,0.3,30.0,52.81700611114502,u_s_hihi.0,30.0,roulette wheel
24,512,16,100,100,137902.250855,0.3,10.0,60.00270652770996,u_s_lohi.0,0.0,roulette wheel
25,512,16,100,100,132856.520232,0.3,10.0,60.405519247055054,u_s_lohi.0,10.0,roulette wheel
26,512,16,100,100,135489.74373199997,0.3,10.0,60.3202121257782,u_s_lohi.0,20.0,roulette wheel
27,512,16,100,100,133396.58163999996,0.3,10.0,60.34930729866028,u_s_lohi.0,30.0,roulette wheel
28,512,16,100,100,137665.280428,0.3,20.0,61.70144510269165,u_s_lohi.0,0.0,roulette wheel
29,512,16,100,100,143542.87261700002,0.3,20.0,61.22310924530029,u_s_lohi.0,10.0,roulette wheel
30,512,16,100,100,136686.65364600002,0.3,20.0,61.733747482299805,u_s_lohi.0,20.0,roulette wheel
31,512,16,100,100,132300.292969,0.3,20.0,61.44131779670715,u_s_lohi.0,30.0,roulette wheel
32,512,16,100,100,140596.649048,0.3,30.0,53.09272885322571,u_s_lohi.0,0.0,roulette wheel
33,512,16,100,100,139682.445006,0.3,30.0,53.10456371307373,u_s_lohi.0,10.0,roulette wheel
34,512,16,100,100,141365.98102299997,0.3,30.0,53.3153932094574,u_s_lohi.0,20.0,roulette wheel
35,512,16,100,100,134971.79397300002,0.3,30.0,52.707446336746216,u_s_lohi.0,30.0,roulette wheel
36,512,16,100,100,3628.571020000001,0.3,10.0,60.77181625366211,u_s_lolo.0,0.0,roulette wheel
37,512,16,100,100,3694.1235980000015,0.3,10.0,60.68056035041809,u_s_lolo.0,10.0,roulette wheel
38,512,16,100,100,3638.58252,0.3,10.0,60.28068780899048,u_s_lolo.0,20.0,roulette wheel
39,512,16,100,100,3728.3285460000006,0.3,10.0,60.33920431137085,u_s_lolo.0,30.0,roulette wheel
40,512,16,100,100,3826.098016,0.3,20.0,62.75264620780945,u_s_lolo.0,0.0,roulette wheel
41,512,16,100,100,3808.956322000001,0.3,20.0,63.78958034515381,u_s_lolo.0,10.0,roulette wheel
42,512,16,100,100,3795.0796179999993,0.3,20.0,63.23511958122253,u_s_lolo.0,20.0,roulette wheel
43,512,16,100,100,3753.544168,0.3,20.0,63.70349740982056,u_s_lolo.0,30.0,roulette wheel
44,512,16,100,100,4509.056229,0.3,30.0,55.50769662857056,u_s_lolo.0,0.0,roulette wheel
45,512,16,100,100,4037.125001,0.3,30.0,54.46292209625244,u_s_lolo.0,10.0,roulette wheel
46,512,16,100,100,4048.742156999999,0.3,30.0,55.19427084922791,u_s_lolo.0,20.0,roulette wheel
47,512,16,100,100,4145.690185999999,0.3,30.0,55.06923651695252,u_s_lolo.0,30.0,roulette wheel
48,512,16,100,100,75912.91704600002,0.3,10.0,61.1067202091217,u_i_hilo.0,0.0,roulette wheel
49,512,16,100,100,79364.09557200002,0.3,10.0,61.246113777160645,u_i_hilo.0,10.0,roulette wheel
50,512,16,100,100,75615.104239,0.3,10.0,61.42529892921448,u_i_hilo.0,20.0,roulette wheel
51,512,16,100,100,76480.248465,0.3,10.0,61.64744782447815,u_i_hilo.0,30.0,roulette wheel
52,512,16,100,100,76254.33212099998,0.3,20.0,63.72412610054016,u_i_hilo.0,0.0,roulette wheel
53,512,16,100,100,75754.187835,0.3,20.0,64.01337122917175,u_i_hilo.0,10.0,roulette wheel
54,512,16,100,100,75897.36529000002,0.3,20.0,63.00600242614746,u_i_hilo.0,20.0,roulette wheel
55,512,16,100,100,76636.27766599998,0.3,20.0,63.40669584274292,u_i_hilo.0,30.0,roulette wheel
56,512,16,100,100,76341.73854699999,0.3,30.0,55.07830309867859,u_i_hilo.0,0.0,roulette wheel
57,512,16,100,100,77309.06473799999,0.3,30.0,55.18055725097656,u_i_hilo.0,10.0,roulette wheel
58,512,16,100,100,77640.450737,0.3,30.0,54.60623455047608,u_i_hilo.0,20.0,roulette wheel
59,512,16,100,100,77093.45830799999,0.3,30.0,54.94792342185974,u_i_hilo.0,30.0,roulette wheel
60,512,16,100,100,3162348.697998,0.3,10.0,60.35707640647888,u_i_hihi.0,0.0,roulette wheel
61,512,16,100,100,3112638.72461,0.3,10.0,60.83489227294922,u_i_hihi.0,10.0,roulette wheel
