,jobs,machines,numInd,numGen,makespan,to_matrix_percentage,elitismo,exec_time,instance,mutation,selection_method
0,512,16,100,100,8109440.191406,0.3,10.0,61.55187511444092,u_c_hihi.0,0.0,roulette wheel
1,512,16,100,100,8109440.191406,0.3,10.0,62.737098693847656,u_c_hihi.0,10.0,roulette wheel
2,512,16,100,100,8109440.191406,0.3,10.0,66.63976621627808,u_c_hihi.0,20.0,roulette wheel
3,512,16,100,100,8109440.191406,0.3,10.0,61.17233347892761,u_c_hihi.0,30.0,roulette wheel
4,512,16,100,100,8109440.191406,0.3,20.0,60.82865118980408,u_c_hihi.0,0.0,roulette wheel
5,512,16,100,100,8109440.191406,0.3,20.0,58.71245288848877,u_c_hihi.0,10.0,roulette wheel
6,512,16,100,100,8109440.191406,0.3,20.0,58.271257400512695,u_c_hihi.0,20.0,roulette wheel
7,512,16,100,100,8109440.191406,0.3,20.0,58.26238942146301,u_c_hihi.0,30.0,roulette wheel
8,512,16,100,100,8109440.191406,0.3,30.0,50.47671604156494,u_c_hihi.0,0.0,roulette wheel
9,512,16,100,100,8109440.191406,0.3,30.0,50.8773136138916,u_c_hihi.0,10.0,roulette wheel
10,512,16,100,100,8109440.191406,0.3,30.0,50.93125629425049,u_c_hihi.0,20.0,roulette wheel
11,512,16,100,100,8109440.191406,0.3,30.0,51.26431322097778,u_c_hihi.0,30.0,roulette wheel
12,512,16,100,100,8109440.191406,0.5,10.0,63.930405139923096,u_c_hihi.0,0.0,roulette wheel
13,512,16,100,100,7754691.337525,0.5,10.0,63.143348693847656,u_c_hihi.0,10.0,roulette wheel
14,512,16,100,100,7910194.867432,0.5,10.0,63.46885442733765,u_c_hihi.0,20.0,roulette wheel
15,512,16,100,100,8109440.191406,0.5,10.0,64.48094415664673,u_c_hihi.0,30.0,roulette wheel
16,512,16,100,100,7880572.4375,0.5,20.0,71.49588465690613,u_c_hihi.0,0.0,roulette wheel
17,512,16,100,100,8109440.191406,0.5,20.0,68.23595643043518,u_c_hihi.0,10.0,roulette wheel
18,512,16,100,100,7795102.076048998,0.5,20.0,70.88456606864929,u_c_hihi.0,20.0,roulette wheel
19,512,16,100,100,8109440.191406,0.5,20.0,72.7350435256958,u_c_hihi.0,30.0,roulette wheel
20,512,16,100,100,7880572.4375,0.5,30.0,65.1381413936615,u_c_hihi.0,0.0,roulette wheel
21,512,16,100,100,8109440.191406,0.5,30.0,64.8709077835083,u_c_hihi.0,10.0,roulette wheel
22,512,16,100,100,7999235.275025,0.5,30.0,65.9067735671997,u_c_hihi.0,20.0,roulette wheel
23,512,16,100,100,8109440.191406,0.5,30.0,60.48707795143128,u_c_hihi.0,30.0,roulette wheel
24,512,16,100,200,8109440.191406,0.3,10.0,141.69509553909302,u_c_hihi.0,0.0,roulette wheel
25,512,16,200,200,8109440.191406,0.3,10.0,256.66834235191345,u_c_hihi.0,0.0,roulette wheel
26,512,16,200,200,8109440.191406,0.3,10.0,241.37921118736267,u_c_hihi.0,10.0,roulette wheel
27,512,16,200,200,8109440.191406,0.3,10.0,240.46317672729492,u_c_hihi.0,20.0,roulette wheel
0,512,16,100,100,8109440.191406,0.3,10.0,72.30059361457825,u_c_hihi.0,0.0,roulette wheel
1,512,16,100,100,100067.262634,0.3,10.0,78.00189638137817,u_s_hilo.0,0.0,roulette wheel
2,512,16,100,100,100067.262634,0.3,10.0,72.05672144889832,u_s_hilo.0,10.0,roulette wheel
3,512,16,100,100,100067.262634,0.3,10.0,74.21112036705017,u_s_hilo.0,20.0,roulette wheel
4,512,16,100,100,100067.262634,0.3,10.0,71.39773893356323,u_s_hilo.0,30.0,roulette wheel
5,512,16,100,100,100067.262634,0.3,20.0,70.19733476638794,u_s_hilo.0,0.0,roulette wheel
6,512,16,100,100,100067.262634,0.3,20.0,70.04718446731567,u_s_hilo.0,10.0,roulette wheel
7,512,16,100,100,100067.262634,0.3,20.0,70.19410133361816,u_s_hilo.0,20.0,roulette wheel
8,512,16,100,100,100067.262634,0.3,20.0,78.93573188781738,u_s_hilo.0,30.0,roulette wheel
9,512,16,100,100,100067.262634,0.3,30.0,66.11794853210449,u_s_hilo.0,0.0,roulette wheel
10,512,16,100,100,100067.262634,0.3,30.0,66.19718313217163,u_s_hilo.0,10.0,roulette wheel
11,512,16,100,100,100067.262634,0.3,30.0,67.10749578475952,u_s_hilo.0,20.0,roulette wheel
12,512,16,100,100,100067.262634,0.3,30.0,73.81555271148682,u_s_hilo.0,30.0,roulette wheel
13,512,16,100,100,4241640.794921,0.3,10.0,77.23843550682068,u_s_hihi.0,0.0,roulette wheel
14,512,16,100,100,4241640.794921,0.3,10.0,74.42031049728394,u_s_hihi.0,10.0,roulette wheel
15,512,16,100,100,4241640.794921,0.3,10.0,78.52315378189087,u_s_hihi.0,20.0,roulette wheel
16,512,16,100,100,4241640.794921,0.3,10.0,78.20473265647888,u_s_hihi.0,30.0,roulette wheel
