,jobs,machines,numInd,numGen,makespan,to_matrix_percentage,elitismo,exec_time,instance,selection_method
0,512,16,100,100,11927354.171875,0.3,10.0,67.84364700317383,u_c_hihi.0,roulette wheel
1,512,16,100,100,11985774.476563,0.3,20.0,69.56803202629091,u_c_hihi.0,roulette wheel
2,512,16,100,100,12896431.28125,0.3,30.0,59.78749418258667,u_c_hihi.0,roulette wheel
3,512,16,100,100,12176266.382812,0.5,10.0,70.07845997810364,u_c_hihi.0,roulette wheel
4,512,16,100,100,13009597.703124002,0.5,20.0,89.59080600738525,u_c_hihi.0,roulette wheel
5,512,16,100,100,14774958.838379,0.5,30.0,75.51243615150452,u_c_hihi.0,roulette wheel
6,512,16,100,200,12029381.492188001,0.3,10.0,128.00467681884766,u_c_hihi.0,roulette wheel
7,512,16,100,200,11590426.097656,0.3,20.0,133.37490010261536,u_c_hihi.0,roulette wheel
8,512,16,100,200,11870959.210936999,0.3,30.0,117.11859393119812,u_c_hihi.0,roulette wheel
9,512,16,100,200,11556372.90625,0.5,10.0,136.12801003456116,u_c_hihi.0,roulette wheel
10,512,16,100,200,12010530.53125,0.5,20.0,170.21601676940918,u_c_hihi.0,roulette wheel
11,512,16,100,200,12087214.859374,0.5,30.0,150.17601609230042,u_c_hihi.0,roulette wheel
12,512,16,200,100,13176961.375,0.3,10.0,157.35466504096985,u_c_hihi.0,roulette wheel
13,512,16,200,100,15218061.367187,0.3,20.0,140.71547222137448,u_c_hihi.0,roulette wheel
14,512,16,200,100,16079471.648438001,0.3,30.0,132.9167149066925,u_c_hihi.0,roulette wheel
15,512,16,200,100,14721079.695313,0.5,10.0,230.11328887939453,u_c_hihi.0,roulette wheel
16,512,16,200,100,15848979.082031,0.5,20.0,249.19069290161133,u_c_hihi.0,roulette wheel
17,512,16,200,100,17304450.085938,0.5,30.0,227.15857100486755,u_c_hihi.0,roulette wheel
18,512,16,200,200,10918154.75,0.3,10.0,302.0529990196228,u_c_hihi.0,roulette wheel
19,512,16,200,200,12583375.59375,0.3,20.0,268.39452815055853,u_c_hihi.0,roulette wheel
20,512,16,200,200,12643778.71875,0.3,30.0,264.2875468730926,u_c_hihi.0,roulette wheel
21,512,16,200,200,11234802.734375,0.5,10.0,407.4198431968689,u_c_hihi.0,roulette wheel
22,512,16,200,200,12723249.200195,0.5,20.0,441.89150309562683,u_c_hihi.0,roulette wheel
23,512,16,200,200,14762914.703126,0.5,30.0,450.8788888454437,u_c_hihi.0,roulette wheel
24,512,16,100,100,6328.434891,0.3,10.0,66.50509309768678,u_c_lolo.0,roulette wheel
25,512,16,100,100,7430.408074000001,0.3,20.0,74.41351294517517,u_c_lolo.0,roulette wheel
26,512,16,100,100,7936.649036,0.3,30.0,63.06070184707642,u_c_lolo.0,roulette wheel
27,512,16,100,100,6902.3406099999975,0.5,10.0,71.05595898628233,u_c_lolo.0,roulette wheel
28,512,16,100,100,7476.928742999998,0.5,20.0,93.44637274742126,u_c_lolo.0,roulette wheel
29,512,16,100,100,8535.734888000003,0.5,30.0,78.45329999923706,u_c_lolo.0,roulette wheel
30,512,16,100,200,6249.014344000001,0.3,10.0,125.06946682929993,u_c_lolo.0,roulette wheel
31,512,16,100,200,6360.710095,0.3,20.0,136.68518018722534,u_c_lolo.0,roulette wheel
