,jobs,machines,numInd,numGen,makespan,to_matrix_percentage,elitismo,exec_time,instance,selection_method
0,512,16,100,100,76368.99973200001,0.3,10.0,72.79416298866272,u_i_hilo.0,roulette wheel
1,512,16,100,100,3122080.023438,0.3,10.0,65.8346462249756,u_i_hihi.0,roulette wheel
2,512,16,100,100,114745.18132300006,0.3,10.0,65.15926194190979,u_i_lohi.0,roulette wheel
3,512,16,100,100,2750.1049100000005,0.3,10.0,81.16502785682678,u_i_lolo.0,roulette wheel
4,512,16,100,200,76582.68630999999,0.3,10.0,140.7603509426117,u_i_hilo.0,roulette wheel
5,512,16,100,200,3205663.6835910007,0.3,10.0,146.51692008972168,u_i_hihi.0,roulette wheel
6,512,16,100,200,115310.159022,0.3,10.0,144.20098805427548,u_i_lohi.0,roulette wheel
7,512,16,100,200,2643.070293,0.3,10.0,145.5729379653931,u_i_lolo.0,roulette wheel
8,512,16,200,100,79585.68084299997,0.3,10.0,200.63099908828733,u_i_hilo.0,roulette wheel
9,512,16,200,100,3133864.4683840005,0.3,10.0,196.20421290397644,u_i_hihi.0,roulette wheel
10,512,16,200,100,114472.84067200002,0.3,10.0,197.5178060531616,u_i_lohi.0,roulette wheel
11,512,16,200,100,2686.845724,0.3,10.0,207.99758100509644,u_i_lolo.0,roulette wheel
12,512,16,200,200,77118.10868599999,0.3,10.0,329.98653316497797,u_i_hilo.0,roulette wheel
13,512,16,200,200,3146281.863038,0.3,10.0,300.7984969615936,u_i_hihi.0,roulette wheel
14,512,16,200,200,108696.485475,0.3,10.0,294.7949287891388,u_i_lohi.0,roulette wheel
15,512,16,200,200,2614.8930819999996,0.3,10.0,309.52869415283203,u_i_lolo.0,roulette wheel
