,jobs,machines,numInd,numGen,makespan,to_matrix_percentage,elitismo,exec_time,instance,mutation,selection_method
0,512,16,100,100,8393998.974121,0.3,10.0,198.08350801467896,u_c_hihi.0,5.0,roulette wheel
1,512,16,100,100,8207503.523438,0.3,10.0,206.4290108680725,u_c_hihi.0,10.0,roulette wheel
2,512,16,100,100,159434.92858799998,0.3,10.0,190.37785196304318,u_c_hilo.0,5.0,roulette wheel
3,512,16,100,100,158449.534597,0.3,10.0,178.41893196105957,u_c_hilo.0,10.0,roulette wheel
4,512,16,100,100,271385.61889800004,0.3,10.0,175.2572999000549,u_c_lohi.0,5.0,roulette wheel
5,512,16,100,100,269611.869261,0.3,10.0,177.97939682006836,u_c_lohi.0,10.0,roulette wheel
6,512,16,100,100,5401.492044000001,0.3,10.0,170.18196797370908,u_c_lolo.0,5.0,roulette wheel
7,512,16,100,100,5308.543265000002,0.3,10.0,165.46949410438538,u_c_lolo.0,10.0,roulette wheel
8,512,16,100,100,8716859.282468997,0.3,10.0,157.95712709426883,u_c_hihi.0,0.0,roulette wheel
9,512,16,100,100,165625.22473000002,0.3,10.0,166.3775947093964,u_c_hilo.0,0.0,roulette wheel
10,512,16,100,100,290244.588011,0.3,10.0,166.07115268707275,u_c_lohi.0,0.0,roulette wheel
11,512,16,100,100,5474.741133000002,0.3,10.0,157.6708390712738,u_c_lolo.0,0.0,roulette wheel
12,512,16,100,100,4897185.7411199985,0.3,10.0,149.86832213401794,u_s_hihi.0,0.0,roulette wheel
13,512,16,100,100,4744233.8867190005,0.3,10.0,159.4915592670441,u_s_hihi.0,5.0,roulette wheel
14,512,16,100,100,4733245.357116999,0.3,10.0,167.5706422328949,u_s_hihi.0,10.0,roulette wheel
15,512,16,100,100,104506.155229,0.3,10.0,153.9421949386597,u_s_hilo.0,0.0,roulette wheel
16,512,16,100,100,102421.835084,0.3,10.0,173.58475732803345,u_s_hilo.0,5.0,roulette wheel
17,512,16,100,100,100486.713443,0.3,10.0,179.51296997070312,u_s_hilo.0,10.0,roulette wheel
18,512,16,100,100,147964.07385299998,0.3,10.0,172.27722096443176,u_s_lohi.0,0.0,roulette wheel
19,512,16,100,100,136807.429503,0.3,10.0,170.93747782707212,u_s_lohi.0,5.0,roulette wheel
20,512,16,100,100,134651.27689799992,0.3,10.0,176.97584509849548,u_s_lohi.0,10.0,roulette wheel
21,512,16,100,100,3724.224728,0.3,10.0,176.02377009391785,u_s_lolo.0,0.0,roulette wheel
22,512,16,100,100,3604.3174970000014,0.3,10.0,171.54207897186282,u_s_lolo.0,5.0,roulette wheel
23,512,16,100,100,3581.8317300000012,0.3,10.0,173.45397019386292,u_s_lolo.0,10.0,roulette wheel
24,512,16,100,100,8181120.5791,0.3,10.0,161.02688694000244,u_c_hihi.0,20.0,roulette wheel
25,512,16,100,100,8280489.139528003,0.3,10.0,162.59718608856198,u_c_hihi.0,30.0,roulette wheel
26,512,16,100,100,158187.17898399994,0.3,10.0,152.9531350135803,u_c_hilo.0,20.0,roulette wheel
