,jobs,machines,numInd,numGen,makespan,to_matrix_percentage,elitismo,exec_time,instance,selection_method
0,512,16,100,100,13260051.202148002,0.3,10.0,79.48821806907655,u_c_hihi.0,roulette wheel
1,512,16,100,100,15194094.827148002,0.3,20.0,80.55331802368164,u_c_hihi.0,roulette wheel
2,512,16,100,100,14804651.4375,0.3,30.0,69.04117465019226,u_c_hihi.0,roulette wheel
3,512,16,100,100,14102005.101562,0.5,10.0,79.4139051437378,u_c_hihi.0,roulette wheel
4,512,16,100,100,15350277.330078,0.5,20.0,95.50204372406006,u_c_hihi.0,roulette wheel
5,512,16,100,100,16375187.421875,0.5,30.0,83.30093693733215,u_c_hihi.0,roulette wheel
6,512,16,100,200,12382208.259766001,0.3,10.0,141.57990503311154,u_c_hihi.0,roulette wheel
7,512,16,100,200,12647756.703125,0.3,20.0,152.87791991233826,u_c_hihi.0,roulette wheel
8,512,16,100,200,13067471.265625,0.3,30.0,136.39937710762024,u_c_hihi.0,roulette wheel
9,512,16,100,200,12360479.226562,0.5,10.0,153.48487901687622,u_c_hihi.0,roulette wheel
10,512,16,100,200,12170069.581601,0.5,20.0,187.51056623458862,u_c_hihi.0,roulette wheel
11,512,16,100,200,15079301.597656,0.5,30.0,166.74584913253784,u_c_hihi.0,roulette wheel
12,512,16,200,100,14245334.383424,0.3,10.0,176.30673384666443,u_c_hihi.0,roulette wheel
13,512,16,200,100,17105825.489991,0.3,20.0,162.96282219886783,u_c_hihi.0,roulette wheel
14,512,16,200,100,18439747.185303,0.3,30.0,145.89354968070984,u_c_hihi.0,roulette wheel
15,512,16,200,100,16500675.940185,0.5,10.0,290.5585858821869,u_c_hihi.0,roulette wheel
16,512,16,200,100,17314222.796876002,0.5,20.0,263.39874601364136,u_c_hihi.0,roulette wheel
17,512,16,200,100,19664952.1875,0.5,30.0,238.1549220085144,u_c_hihi.0,roulette wheel
18,512,16,200,200,11553771.859009,0.3,10.0,331.91063380241394,u_c_hihi.0,roulette wheel
19,512,16,200,200,12377390.931641,0.3,20.0,308.76811885833735,u_c_hihi.0,roulette wheel
20,512,16,200,200,17488308.019042,0.3,30.0,306.188218832016,u_c_hihi.0,roulette wheel
21,512,16,200,200,11737718.335937,0.5,10.0,527.3142158985138,u_c_hihi.0,roulette wheel
22,512,16,200,200,14188408.380494,0.5,20.0,514.9106929302217,u_c_hihi.0,roulette wheel
23,512,16,200,200,17494195.898437,0.5,30.0,484.8145999908447,u_c_hihi.0,roulette wheel
24,512,16,100,100,7891.622487000002,0.3,10.0,70.62092900276184,u_c_lolo.0,roulette wheel
25,512,16,100,100,8961.339284000001,0.3,20.0,74.2822790145874,u_c_lolo.0,roulette wheel
26,512,16,100,100,9281.496316,0.3,30.0,62.71127986907959,u_c_lolo.0,roulette wheel
27,512,16,100,100,8727.771109000001,0.5,10.0,71.44380402565001,u_c_lolo.0,roulette wheel
28,512,16,100,100,9016.832356,0.5,20.0,91.59235191345215,u_c_lolo.0,roulette wheel
29,512,16,100,100,9368.291076,0.5,30.0,76.34708499908447,u_c_lolo.0,roulette wheel
30,512,16,100,200,7307.520884999999,0.3,10.0,126.9853811264038,u_c_lolo.0,roulette wheel
31,512,16,100,200,8711.453047999998,0.3,20.0,153.40672159194946,u_c_lolo.0,roulette wheel
32,512,16,100,200,9002.947173999999,0.3,30.0,138.4782478809357,u_c_lolo.0,roulette wheel
33,512,16,100,200,7496.277187000002,0.5,10.0,161.09382915496823,u_c_lolo.0,roulette wheel
34,512,16,100,200,8859.875422,0.5,20.0,187.56137013435364,u_c_lolo.0,roulette wheel
35,512,16,100,200,9025.015793000002,0.5,30.0,172.663959980011,u_c_lolo.0,roulette wheel
36,512,16,200,100,9406.655532,0.3,10.0,178.48620676994324,u_c_lolo.0,roulette wheel
37,512,16,200,100,10055.565616999998,0.3,20.0,166.88204193115234,u_c_lolo.0,roulette wheel
38,512,16,200,100,10117.279775,0.3,30.0,150.39947700500488,u_c_lolo.0,roulette wheel
39,512,16,200,100,9347.683014000002,0.5,10.0,283.6471691131592,u_c_lolo.0,roulette wheel
40,512,16,200,100,10014.718114,0.5,20.0,254.08180713653562,u_c_lolo.0,roulette wheel
41,512,16,200,100,10328.265241,0.5,30.0,244.1778039932251,u_c_lolo.0,roulette wheel
42,512,16,200,200,8866.038509,0.3,10.0,338.8335192203522,u_c_lolo.0,roulette wheel
43,512,16,200,200,9685.34935,0.3,20.0,313.0082707405091,u_c_lolo.0,roulette wheel
44,512,16,200,200,9757.57983,0.3,30.0,284.55076193809515,u_c_lolo.0,roulette wheel
45,512,16,200,200,8855.479483,0.5,10.0,572.8050339221953,u_c_lolo.0,roulette wheel
46,512,16,200,200,9824.896810000002,0.5,20.0,526.1300868988037,u_c_lolo.0,roulette wheel
47,512,16,200,200,10079.786951,0.5,30.0,480.5846147537232,u_c_lolo.0,roulette wheel
48,512,16,100,100,396744.020814,0.3,10.0,75.21909594535829,u_c_lohi.0,roulette wheel
49,512,16,100,100,465487.303223,0.3,20.0,78.9109969139099,u_c_lohi.0,roulette wheel
50,512,16,100,100,475216.192382,0.3,30.0,67.04927492141725,u_c_lohi.0,roulette wheel
51,512,16,100,100,451095.10058500007,0.5,10.0,78.28488087654114,u_c_lohi.0,roulette wheel
52,512,16,100,100,469827.45001300005,0.5,20.0,94.62411117553712,u_c_lohi.0,roulette wheel
53,512,16,100,100,495997.871828,0.5,30.0,83.44773507118225,u_c_lohi.0,roulette wheel
54,512,16,100,200,428338.619019,0.3,10.0,141.49247193336487,u_c_lohi.0,roulette wheel
55,512,16,100,200,392193.213197,0.3,20.0,150.95372009277344,u_c_lohi.0,roulette wheel
56,512,16,100,200,463530.144533,0.3,30.0,132.54568600654602,u_c_lohi.0,roulette wheel
57,512,16,100,200,395606.628571,0.5,10.0,148.71904921531674,u_c_lohi.0,roulette wheel
58,512,16,100,200,397561.691409,0.5,20.0,183.08776307106015,u_c_lohi.0,roulette wheel
59,512,16,100,200,410579.42761199997,0.5,30.0,161.15588498115542,u_c_lohi.0,roulette wheel
60,512,16,200,100,487997.943357,0.3,10.0,171.81551122665402,u_c_lohi.0,roulette wheel
61,512,16,200,100,543858.393553,0.3,20.0,157.26959896087646,u_c_lohi.0,roulette wheel
62,512,16,200,100,600820.6669930001,0.3,30.0,139.56825613975522,u_c_lohi.0,roulette wheel
63,512,16,200,100,532814.7740770001,0.5,10.0,280.67527079582214,u_c_lohi.0,roulette wheel
64,512,16,200,100,565685.9725340001,0.5,20.0,256.49444794654846,u_c_lohi.0,roulette wheel
65,512,16,200,100,605883.8933100001,0.5,30.0,239.69557309150696,u_c_lohi.0,roulette wheel
