,jobs,machines,numInd,numGen,makespan,to_matrix_percentage,elitismo,exec_time,instance,selection_method
0,512,16,100,100,564325.5442169998,0.3,10.0,65.57805395126343,u_c_lohi.0,roulette wheel
1,512,16,100,100,622775.4792460001,0.3,20.0,68.28274893760681,u_c_lohi.0,roulette wheel
2,512,16,100,100,675003.911255,0.3,30.0,64.12899780273439,u_c_lohi.0,roulette wheel
3,512,16,100,100,7233.059018000001,0.3,10.0,63.29100489616394,u_c_lolo.0,roulette wheel
4,512,16,100,100,8727.990804000001,0.3,20.0,69.94177317619325,u_c_lolo.0,roulette wheel
5,512,16,100,100,9188.015254000002,0.3,30.0,59.79625105857849,u_c_lolo.0,roulette wheel
6,512,16,100,100,569392.1705319999,0.5,10.0,68.83990001678467,u_c_lohi.0,roulette wheel
7,512,16,100,100,648769.062499,0.5,20.0,87.44067025184631,u_c_lohi.0,roulette wheel
8,512,16,100,100,764947.6113280002,0.5,30.0,77.12118196487427,u_c_lohi.0,roulette wheel
9,512,16,100,100,8279.864044,0.5,10.0,69.00246214866638,u_c_lolo.0,roulette wheel
10,512,16,100,100,9383.003417999998,0.5,20.0,86.51167106628418,u_c_lolo.0,roulette wheel
11,512,16,100,100,10183.200638000002,0.5,30.0,77.0702347755432,u_c_lolo.0,roulette wheel
12,512,16,100,200,553277.31036,0.3,10.0,123.79688501358031,u_c_lohi.0,roulette wheel
13,512,16,100,200,557899.6481640001,0.3,20.0,131.95585107803342,u_c_lohi.0,roulette wheel
14,512,16,100,200,548087.7329390001,0.3,30.0,113.54697394371031,u_c_lohi.0,roulette wheel
15,512,16,100,200,7436.307747000003,0.3,10.0,122.3199679851532,u_c_lolo.0,roulette wheel
16,512,16,100,200,7097.3791260000025,0.3,20.0,136.23961663246158,u_c_lolo.0,roulette wheel
17,512,16,100,200,7254.823275,0.3,30.0,115.17419695854187,u_c_lolo.0,roulette wheel
18,512,16,100,200,540022.828615,0.5,10.0,134.99759316444394,u_c_lohi.0,roulette wheel
19,512,16,100,200,514597.73730200005,0.5,20.0,168.20275807380673,u_c_lohi.0,roulette wheel
20,512,16,100,200,579802.249206,0.5,30.0,153.77261900901794,u_c_lohi.0,roulette wheel
21,512,16,100,200,7282.525689999998,0.5,10.0,137.06229496002194,u_c_lolo.0,roulette wheel
22,512,16,100,200,7049.833389,0.5,20.0,173.72876811027527,u_c_lolo.0,roulette wheel
23,512,16,100,200,8450.988106999997,0.5,30.0,146.63909101486206,u_c_lolo.0,roulette wheel
24,512,16,200,100,546786.641111,0.3,10.0,156.10417008399963,u_c_lohi.0,roulette wheel
25,512,16,200,100,718058.9694810002,0.3,20.0,135.69755816459656,u_c_lohi.0,roulette wheel
26,512,16,200,100,726961.6660160002,0.3,30.0,132.7190670967102,u_c_lohi.0,roulette wheel
27,512,16,200,100,8301.794246000001,0.3,10.0,157.93921208381653,u_c_lolo.0,roulette wheel
28,512,16,200,100,9894.161092000002,0.3,20.0,140.78349685668942,u_c_lolo.0,roulette wheel
29,512,16,200,100,10101.91681,0.3,30.0,131.42780685424805,u_c_lolo.0,roulette wheel
30,512,16,200,100,591490.6118160002,0.5,10.0,218.0430097579956,u_c_lohi.0,roulette wheel
31,512,16,200,100,755197.0200210002,0.5,20.0,225.55683779716492,u_c_lohi.0,roulette wheel
32,512,16,200,100,792122.586914,0.5,30.0,228.79984378814697,u_c_lohi.0,roulette wheel
33,512,16,200,100,9203.493417999998,0.5,10.0,193.5625810623169,u_c_lolo.0,roulette wheel
34,512,16,200,100,9936.835335,0.5,20.0,159.2564742565155,u_c_lolo.0,roulette wheel
35,512,16,200,100,10240.283292999997,0.5,30.0,2621.0226538181305,u_c_lolo.0,roulette wheel
36,512,16,200,200,478629.746091,0.3,10.0,301.0775029659271,u_c_lohi.0,roulette wheel
37,512,16,200,200,523660.43921,0.3,20.0,269.05543112754816,u_c_lohi.0,roulette wheel
38,512,16,200,200,527502.5317399999,0.3,30.0,262.45361518859863,u_c_lohi.0,roulette wheel
39,512,16,200,200,6562.4837899999975,0.3,10.0,305.6715369224548,u_c_lolo.0,roulette wheel
40,512,16,200,200,8013.283379999997,0.3,20.0,267.9822330474853,u_c_lolo.0,roulette wheel
41,512,16,200,200,9404.069612000001,0.3,30.0,265.8219599723816,u_c_lolo.0,roulette wheel
42,512,16,200,200,463474.61731099995,0.5,10.0,399.4880437850952,u_c_lohi.0,roulette wheel
43,512,16,200,200,471118.730532,0.5,20.0,451.85534596443176,u_c_lohi.0,roulette wheel
44,512,16,200,200,525857.32959,0.5,30.0,451.0416510105133,u_c_lohi.0,roulette wheel
45,512,16,200,200,7556.7246220000025,0.5,10.0,416.2315900325775,u_c_lolo.0,roulette wheel
46,512,16,200,200,8979.777364,0.5,20.0,488.1112880706787,u_c_lolo.0,roulette wheel
47,512,16,200,200,9661.498959,0.5,30.0,452.81043815612793,u_c_lolo.0,roulette wheel
48,512,16,100,100,212963.117522,0.3,10.0,79.37988305091858,u_c_hilo.0,roulette wheel
49,512,16,100,100,257734.08190999998,0.3,20.0,64.72350215911865,u_c_hilo.0,roulette wheel
50,512,16,100,100,289033.895265,0.3,30.0,58.938652992248535,u_c_hilo.0,roulette wheel
51,512,16,100,100,17377398.171875,0.3,10.0,65.28269386291504,u_c_hihi.0,roulette wheel
52,512,16,100,100,20701410.054688,0.3,20.0,64.72529101371765,u_c_hihi.0,roulette wheel
53,512,16,100,100,22196362.350586,0.3,30.0,54.44009494781494,u_c_hihi.0,roulette wheel
54,512,16,100,100,225452.036335,0.5,10.0,63.771044969558716,u_c_hilo.0,roulette wheel
55,512,16,100,100,277223.74119499995,0.5,20.0,83.95732927322388,u_c_hilo.0,roulette wheel
56,512,16,100,100,306013.261476,0.5,30.0,72.73652410507201,u_c_hilo.0,roulette wheel
57,512,16,100,100,19400781.376098,0.5,10.0,63.678929805755615,u_c_hihi.0,roulette wheel
58,512,16,100,100,22315262.19751,0.5,20.0,83.51820373535156,u_c_hihi.0,roulette wheel
59,512,16,100,100,23676690.730469,0.5,30.0,71.2600371837616,u_c_hihi.0,roulette wheel
60,512,16,100,200,212511.116743,0.3,10.0,123.53339505195619,u_c_hilo.0,roulette wheel
61,512,16,100,200,218116.92520099995,0.3,20.0,132.36753606796265,u_c_hilo.0,roulette wheel
62,512,16,100,200,232764.00635,0.3,30.0,116.0112509727478,u_c_hilo.0,roulette wheel
63,512,16,100,200,16357891.265625,0.3,10.0,124.08418107032776,u_c_hihi.0,roulette wheel
64,512,16,100,200,16782450.679688,0.3,20.0,134.47300815582278,u_c_hihi.0,roulette wheel
65,512,16,100,200,16933743.546875,0.3,30.0,116.31780910491943,u_c_hihi.0,roulette wheel
66,512,16,100,200,207073.575256,0.5,10.0,135.94694185256958,u_c_hilo.0,roulette wheel
67,512,16,100,200,205239.900481,0.5,20.0,168.1674108505249,u_c_hilo.0,roulette wheel
68,512,16,100,200,232347.890502,0.5,30.0,148.92518997192386,u_c_hilo.0,roulette wheel
69,512,16,100,200,17171700.367859,0.5,10.0,136.13782095909121,u_c_hihi.0,roulette wheel
70,512,16,100,200,16609838.340332001,0.5,20.0,172.43141674995422,u_c_hihi.0,roulette wheel
71,512,16,100,200,18119750.528320998,0.5,30.0,148.62074327468872,u_c_hihi.0,roulette wheel
72,512,16,200,100,255384.413881,0.3,10.0,155.05284714698792,u_c_hilo.0,roulette wheel
73,512,16,200,100,298722.926452,0.3,20.0,137.50133800506592,u_c_hilo.0,roulette wheel
74,512,16,200,100,303934.18759299995,0.3,30.0,132.5547387599945,u_c_hilo.0,roulette wheel
75,512,16,200,100,18269820.601561,0.3,10.0,155.47358918190002,u_c_hihi.0,roulette wheel
76,512,16,200,100,20989587.189453,0.3,20.0,133.0855143070221,u_c_hihi.0,roulette wheel
77,512,16,200,100,23236520.484375,0.3,30.0,131.12743186950684,u_c_hihi.0,roulette wheel
78,512,16,200,100,273073.239379,0.5,10.0,204.5653121471405,u_c_hilo.0,roulette wheel
79,512,16,200,100,282574.408676,0.5,20.0,203.89224481582642,u_c_hilo.0,roulette wheel
80,512,16,200,100,300013.4501979999,0.5,30.0,224.42429113388062,u_c_hilo.0,roulette wheel
81,512,16,200,100,18916313.632813,0.5,10.0,191.05713391304016,u_c_hihi.0,roulette wheel
82,512,16,200,100,22125835.578125,0.5,20.0,233.9842071533203,u_c_hihi.0,roulette wheel
83,512,16,200,100,23948331.384399,0.5,30.0,224.61892008781442,u_c_hihi.0,roulette wheel
84,512,16,200,200,214610.595704,0.3,10.0,304.3995261192322,u_c_hilo.0,roulette wheel
85,512,16,200,200,264952.9061,0.3,20.0,267.16759610176086,u_c_hilo.0,roulette wheel
86,512,16,200,200,280919.17053200013,0.3,30.0,266.9961359500885,u_c_hilo.0,roulette wheel
87,512,16,200,200,13413029.746094,0.3,10.0,304.75723314285284,u_c_hihi.0,roulette wheel
