,jobs,machines,numInd,numGen,makespan,to_matrix_percentage,elitismo,exec_time,selection_method,instance
0,512,16,100,100,16159963.0,0.3,10.0,180.06205105781555,roulette wheel,
1,512,16,100,100,18394467.390623998,0.3,20.0,156.55932068824768,roulette wheel,
2,512,16,100,100,21527278.95166,0.3,30.0,132.30777502059937,roulette wheel,
3,512,16,100,100,18454078.222656,0.5,10.0,170.5845460891724,roulette wheel,
4,512,16,100,100,19256159.117187,0.5,20.0,151.70792913436892,roulette wheel,
5,512,16,100,100,21313124.949219,0.5,30.0,133.78052878379822,roulette wheel,
6,512,16,100,100,21097086.655273,0.7,10.0,172.75323915481567,roulette wheel,
7,512,16,100,100,21526706.820312,0.7,20.0,157.59214806556705,roulette wheel,
8,512,16,100,100,22452332.5,0.7,30.0,140.6310091018677,roulette wheel,
9,512,16,100,200,15752535.867188001,0.3,10.0,356.95162892341614,roulette wheel,
10,512,16,100,200,15537416.199218,0.3,20.0,318.5568556785584,roulette wheel,
11,512,16,100,200,16370472.527344,0.3,30.0,278.97307181358343,roulette wheel,
12,512,16,100,200,14806529.832031,0.5,10.0,356.9270040988922,roulette wheel,
13,512,16,100,200,15464241.316406,0.5,20.0,318.21011090278625,roulette wheel,
14,512,16,100,200,16523187.094238998,0.5,30.0,278.7218701839447,roulette wheel,
15,512,16,100,200,14325857.933595002,0.7,10.0,358.42196679115295,roulette wheel,
16,512,16,100,200,15908298.003907,0.7,20.0,323.9428510665894,roulette wheel,
17,512,16,100,200,18211295.173462,0.7,30.0,282.6924531459808,roulette wheel,
18,512,16,200,100,17419554.513672,0.3,10.0,356.8818950653076,roulette wheel,
19,512,16,200,100,19271640.8125,0.3,20.0,316.3339471817017,roulette wheel,
20,512,16,200,100,20984741.660156,0.3,30.0,278.52967023849493,roulette wheel,
21,512,16,200,100,18975914.539063,0.5,10.0,363.51455211639404,roulette wheel,
22,512,16,200,100,22866355.84375,0.5,20.0,316.3234331607818,roulette wheel,
23,512,16,200,100,23232108.15625,0.5,30.0,277.7917098999024,roulette wheel,
24,512,16,200,100,21492300.016113,0.7,10.0,356.79805612564087,roulette wheel,
25,512,16,200,100,22849777.458986,0.7,20.0,317.22937607765203,roulette wheel,
26,512,16,200,100,24412906.6875,0.7,30.0,279.06653094291687,roulette wheel,
27,512,16,200,200,13450164.753906,0.3,10.0,708.0720241069794,roulette wheel,
28,512,16,200,200,14880985.242188001,0.3,20.0,608.7137999534608,roulette wheel,
29,512,16,200,200,17391209.133302003,0.3,30.0,493.94706296920776,roulette wheel,
30,512,16,200,200,13898271.694703,0.5,10.0,627.2558259963988,roulette wheel,
31,512,16,200,200,15676988.609375,0.5,20.0,557.577712059021,roulette wheel,
32,512,16,200,200,18309858.945312,0.5,30.0,489.13665676116943,roulette wheel,
33,512,16,200,200,16451172.085937,0.7,10.0,629.8921942710876,roulette wheel,
34,512,16,200,200,17935676.109375,0.7,20.0,563.4081821441649,roulette wheel,
35,512,16,200,200,18869018.525391,0.7,30.0,490.6471059322357,roulette wheel,
36,512,16,100,100,40756821.203125,0.3,10.0,73.01314282417296,tournament,
37,512,16,100,100,38147022.343749,0.3,20.0,62.11737704277039,tournament,
38,512,16,100,100,41444874.828125,0.3,30.0,54.02219271659851,tournament,
39,512,16,100,100,40111133.78125,0.5,10.0,69.88061189651489,tournament,
40,512,16,100,100,40726735.540528,0.5,20.0,62.633605003356934,tournament,
41,512,16,100,100,40249992.464844,0.5,30.0,55.31658887863159,tournament,
42,512,16,100,100,43044163.410156,0.7,10.0,70.8677189350128,tournament,
43,512,16,100,100,38859055.742188,0.7,20.0,63.85610008239746,tournament,
44,512,16,100,100,38087719.375,0.7,30.0,55.36701393127442,tournament,
45,512,16,100,200,40818772.878906,0.3,10.0,136.22410011291504,tournament,
46,512,16,100,200,40077777.214844,0.3,20.0,119.97119903564452,tournament,
47,512,16,100,200,40184845.613282,0.3,30.0,108.46246576309204,tournament,
48,512,16,100,200,39862403.140625,0.5,10.0,386.9589149951935,tournament,
49,512,16,100,200,37158175.5625,0.5,20.0,126.27364993095398,tournament,
50,512,16,100,200,35058950.507812,0.5,30.0,107.20592188835144,tournament,
51,512,16,100,200,41468380.117188,0.7,10.0,137.42844915390017,tournament,
52,512,16,100,200,38946912.558594,0.7,20.0,121.12551498413086,tournament,
53,512,16,100,200,36138150.218751,0.7,30.0,107.03369021415709,tournament,
54,512,16,200,100,36930463.212891,0.3,10.0,134.47793197631836,tournament,
55,512,16,200,100,36942862.015625,0.3,20.0,121.7498061656952,tournament,
56,512,16,200,100,38433061.277344,0.3,30.0,103.11955618858336,tournament,
57,512,16,200,100,37109845.415528,0.5,10.0,133.80337905883792,tournament,
58,512,16,200,100,37665509.308594,0.5,20.0,119.64554595947266,tournament,
59,512,16,200,100,36475547.03320301,0.5,30.0,107.0046021938324,tournament,
60,512,16,200,100,39314116.3125,0.7,10.0,137.03672194480896,tournament,
61,512,16,200,100,37558160.085938,0.7,20.0,121.73219895362854,tournament,
62,512,16,200,100,35692998.78125,0.7,30.0,103.85096502304077,tournament,
63,512,16,200,200,36685250.40625,0.3,10.0,261.63936901092535,tournament,
64,512,16,200,200,35142195.23828,0.3,20.0,2466.1770229339604,tournament,
65,512,16,200,200,35561622.203125,0.3,30.0,647.0642068386078,tournament,
66,512,16,200,200,35421610.429688,0.5,10.0,267.17114496231085,tournament,
67,512,16,200,200,35324393.972656,0.5,20.0,240.24117708206177,tournament,
68,512,16,200,200,35180961.453125,0.5,30.0,214.39751505851746,tournament,
69,512,16,200,200,36465891.828125,0.7,10.0,277.74822211265564,tournament,
70,512,16,200,200,36797332.082031,0.7,20.0,241.18274688720703,tournament,
71,512,16,200,200,35410109.835449,0.7,30.0,211.67696690559387,tournament,
72,512,16,500,500,10896101.625,0.3,10.0,5071.587620019913,roulette wheel,u_c_hihi.0
