,jobs,machines,numInd,numGen,makespan,to_matrix_percentage,elitismo,exec_time,instance,selection_method
0,512,16,100,100,5612.755746000003,0.3,10.0,63.22554802894592,u_c_lolo.0,roulette wheel
1,512,16,100,100,5515.308419,0.3,10.0,63.55384278297424,u_c_lolo.0,roulette wheel
2,512,16,100,200,5339.0378679999985,0.3,10.0,115.15123915672302,u_c_lolo.0,roulette wheel
3,512,16,100,500,5611.6379849999985,0.3,10.0,278.42814064025885,u_c_lolo.0,roulette wheel
4,512,16,200,100,6985.581984,0.3,10.0,160.17779874801641,u_c_lolo.0,roulette wheel
5,512,16,200,200,5509.727593999999,0.3,10.0,314.20847177505493,u_c_lolo.0,roulette wheel
6,512,16,200,500,5423.775287,0.3,10.0,737.7184503078461,u_c_lolo.0,roulette wheel
7,512,16,500,100,9133.508274000003,0.3,10.0,1028.6544051170351,u_c_lolo.0,roulette wheel
8,512,16,500,200,8017.453731999999,0.3,10.0,2166.07608294487,u_c_lolo.0,roulette wheel
9,512,16,500,500,5388.274894,0.3,10.0,5000.963898181915,u_c_lolo.0,roulette wheel
10,512,16,100,100,8336151.041256999,0.3,10.0,62.59965920448303,u_c_hihi.0,roulette wheel
11,512,16,100,200,8359613.289063,0.3,10.0,116.2015528678894,u_c_hihi.0,roulette wheel
12,512,16,100,500,8394076.125,0.3,10.0,277.7645890712738,u_c_hihi.0,roulette wheel
13,512,16,200,100,9428434.265625,0.3,10.0,146.88752222061154,u_c_hihi.0,roulette wheel
14,512,16,200,200,8132574.174191,0.3,10.0,299.5687470436096,u_c_hihi.0,roulette wheel
15,512,16,200,500,8123005.5664070025,0.3,10.0,648.0278518199922,u_c_hihi.0,roulette wheel
16,512,16,500,100,12145669.367187,0.3,10.0,914.9636480808258,u_c_hihi.0,roulette wheel
17,512,16,500,200,8611188.988279998,0.3,10.0,1851.4654309749606,u_c_hihi.0,roulette wheel
18,512,16,500,500,8051834.048036003,0.3,10.0,3685.840744972229,u_c_hihi.0,roulette wheel
19,512,16,100,100,269507.19079400005,0.3,10.0,61.94626712799072,u_c_lohi.0,roulette wheel
20,512,16,100,200,274601.82788099995,0.3,10.0,114.08004188537598,u_c_lohi.0,roulette wheel
21,512,16,100,500,270787.86345500004,0.3,10.0,276.2273998260498,u_c_lohi.0,roulette wheel
22,512,16,200,100,296293.87743999995,0.3,10.0,148.23007631301883,u_c_lohi.0,roulette wheel
23,512,16,200,200,267510.89112400013,0.3,10.0,278.04074096679693,u_c_lohi.0,roulette wheel
24,512,16,200,500,269167.135128,0.3,10.0,658.5313849449158,u_c_lohi.0,roulette wheel
25,512,16,500,100,409903.01074100006,0.3,10.0,933.7141609191896,u_c_lohi.0,roulette wheel
26,512,16,500,200,288592.353029,0.3,10.0,1934.9988629817965,u_c_lohi.0,roulette wheel
27,512,16,500,500,264737.82373,0.3,10.0,4229.701122760773,u_c_lohi.0,roulette wheel
28,512,16,100,100,170470.725587,0.3,10.0,69.45907974243164,u_c_hilo.0,roulette wheel
29,512,16,100,200,160329.541625,0.3,10.0,140.70958018302915,u_c_hilo.0,roulette wheel
30,512,16,100,500,161135.82567700007,0.3,10.0,306.17252874374384,u_c_hilo.0,roulette wheel
31,512,16,200,100,200239.19570399998,0.3,10.0,153.69004917144775,u_c_hilo.0,roulette wheel
32,512,16,200,200,159597.47137499994,0.3,10.0,288.66303491592413,u_c_hilo.0,roulette wheel
33,512,16,200,500,164262.47424200005,0.3,10.0,783.5599160194397,u_c_hilo.0,roulette wheel
34,512,16,500,100,274932.36943200004,0.3,10.0,994.7523281574248,u_c_hilo.0,roulette wheel
35,512,16,500,200,225653.87138400003,0.3,10.0,1976.4521398544312,u_c_hilo.0,roulette wheel
36,512,16,500,500,161209.535218,0.3,10.0,4816.4272027015695,u_c_hilo.0,roulette wheel
37,512,16,100,100,7476.863498999999,0.5,20.0,95.4243619441986,u_c_lolo.0,roulette wheel
38,512,16,100,100,8356.793372000002,0.5,30.0,80.80442214012145,u_c_lolo.0,roulette wheel
39,512,16,100,200,5808.6991240000025,0.5,20.0,173.5784010887146,u_c_lolo.0,roulette wheel
40,512,16,100,200,7120.235136,0.5,30.0,154.34784078598022,u_c_lolo.0,roulette wheel
41,512,16,200,100,8774.42133,0.5,20.0,263.12257194519043,u_c_lolo.0,roulette wheel
42,512,16,200,100,9630.927287999999,0.5,30.0,244.96011781692505,u_c_lolo.0,roulette wheel
43,512,16,200,200,7436.285762,0.5,20.0,451.69096088409424,u_c_lolo.0,roulette wheel
